Latitude;Longitude;Altitude;CD_setor;N egg;N larvae;N pupae;N adults;A1;A2;B;C;D1;D2;E;Type
-11.4358804688;-37.470486021;0;280630505000011;0;0;0;0;0;1;4;0;0;0;0;R
-11.4359782188;-37.472064545;0;280630505000011;0;0;0;0;1;0;3;0;0;1;0;R
-11.4349039958;-37.472108151;0;280630505000011;0;0;0;0;1;1;1;0;2;2;0;R
-11.4321084358;-37.471209764;0;280630505000011;0;0;0;0;0;1;2;0;0;0;0;R
-11.4269772508;-37.469912305;0;280630505000011;0;0;0;0;0;1;4;0;1;2;0;R
-11.4269248248;-37.469899049;0;280630505000011;0;0;0;0;1;1;2;0;2;0;0;R
-11.4268683338;-37.469884764;0;280630505000011;0;0;0;0;1;1;0;0;0;4;0;R
-11.4267540908;-37.469855877;0;280630505000011;0;0;0;0;0;2;1;0;2;1;0;R
-11.4251967598;-37.466475316;0;280630505000011;0;0;0;0;1;0;3;0;1;0;0;R
-11.4251320568;-37.465686629;0;280630505000011;0;0;0;0;1;2;3;0;2;1;0;R
-11.4341609088;-37.468358909;0;280630505000011;0;0;0;0;1;2;2;0;1;3;0;R
-11.4344014898;-37.468430114;0;280630505000011;0;0;0;0;0;2;0;0;2;1;0;R
-11.4358804688;-37.470486021;0;280630505000011;0;0;0;0;1;1;1;0;2;1;0;R
-11.4093662748;-37.487545394;0;280630505000012;0;0;0;0;1;0;3;0;0;3;0;R
-11.4094236278;-37.487579604;0;280630505000012;0;0;0;0;0;0;4;0;2;1;0;R
-11.4093917818;-37.487696374;0;280630505000012;0;0;0;0;1;2;4;0;1;4;0;R
-11.4092534728;-37.488203506;0;280630505000012;0;0;0;0;0;1;1;0;0;0;0;R
-11.4075067058;-37.489932405;0;280630505000012;0;0;0;0;1;2;4;0;1;1;0;R
-11.4067273628;-37.491158953;0;280630505000012;0;0;0;0;1;0;4;0;0;1;0;R
-11.4066799278;-37.492659294;0;280630505000012;0;0;0;0;1;1;1;0;2;0;0;R
-11.4071696958;-37.495427808;0;280630505000012;0;0;0;0;1;2;2;0;1;1;0;R
-11.4067592768;-37.497375416;0;280630505000012;0;0;0;0;1;1;4;0;1;0;0;R
-11.4071911388;-37.49961367;0;280630505000012;0;0;0;0;0;0;1;0;0;4;0;R
-11.4079673108;-37.501294806;0;280630505000012;0;0;0;0;0;0;2;0;2;1;0;R
-11.4080313628;-37.501427855;0;280630505000012;0;0;0;0;0;2;4;0;1;1;0;R
-11.4089454768;-37.503239435;0;280630505000012;0;0;0;0;1;2;4;0;0;1;0;R
-11.4086038758;-37.504144147;0;280630505000012;0;0;0;0;1;2;0;0;1;4;0;R
-11.4083145558;-37.504089272;0;280630505000012;0;0;0;0;0;0;1;0;2;3;0;R
-11.4081905498;-37.504065752;0;280630505000012;0;0;0;0;1;2;0;0;0;1;0;R
-11.4079781778;-37.504025471;0;280630505000012;0;0;0;0;1;1;0;0;2;4;0;R
-11.4082182538;-37.503164727;0;280630505000012;0;0;0;0;1;1;4;0;2;4;0;R
-11.4070056028;-37.501874412;0;280630505000012;0;0;0;0;1;0;0;0;1;0;0;R
-11.4055310368;-37.499400622;0;280630505000012;0;0;0;0;1;1;1;0;2;4;0;R
-11.4055349858;-37.496640512;0;280630505000012;0;0;0;0;0;1;0;0;0;0;0;R
-11.4058152008;-37.495219591;0;280630505000012;0;0;0;0;1;2;1;0;2;0;0;R
-11.4054765198;-37.493351077;0;280630505000012;0;0;0;0;1;2;3;0;2;2;0;R
-11.4054979228;-37.490480003;0;280630505000012;0;0;0;0;1;0;3;0;0;4;0;R
-11.4056574518;-37.490325247;0;280630505000012;0;0;0;0;1;0;3;0;0;2;0;R
-11.4057119648;-37.490272366;0;280630505000012;0;0;0;0;0;0;2;0;2;0;0;R
-11.4057654768;-37.490220455;0;280630505000012;0;0;0;0;0;1;3;0;1;0;0;R
-11.4065531508;-37.489456351;0;280630505000012;0;0;0;0;0;0;3;0;0;4;0;R
-11.4085048938;-37.487870804;0;280630505000012;0;0;0;0;1;1;4;0;2;4;0;R
